Bat species,Virus genus,Virus subgenus,Country,Study type,#,+,Sample type,Sample tissue,Test,Study,🔗
"Myotis pilosus","genus not specified","","China","cross-sectional","47","0","pooled","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1128/JVI.00116-18"
"Rousettus aegyptiacus","genus not specified","","Guinea","cross-sectional","1","0","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Artibeus planirostris","genus not specified","","Brazil","cross-sectional","9","0","single","lung or respiratory","PCR","Bittar et al. 2020","https://www.doi.org/10.1007/s00248-019-01391-x"
"Penthetor lucasi","genus not specified","","Singapore","cross-sectional","79","0","pooled","pooled swabs/samples","PCR","Mendenhall et al. 2017","https://www.doi.org/10.1111/tbed.12568"
"Eptesicus furinalis","genus not specified","","Brazil","longitudinal","5","0","pooled","intestine","PCR","Góes et al. 2016","https://www.doi.org/10.1016/j.meegid.2016.07.034"
"Rousettus aegyptiacus","genus not specified","","Kenya","cross-sectional","21","0","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Epomops buettikoferi","genus not specified","","Guinea","cross-sectional","3","0","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Rousettus madagascariensis","genus not specified","","Madagascar","longitudinal","123","0","pooled","oropharyngeal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"Cardioderma cor","alphacoronavirus","","Kenya","cross-sectional","5","1","pooled","pooled swabs/samples","PCR","Tao et al. 2017","https://www.doi.org/10.1128/JVI.01953-16"
"Miniopterus schreibersii","alphacoronavirus","","Australia","longitudinal","59","6","pooled","pooled swabs/samples","PCR","Smith et al. 2016","https://www.doi.org/10.1007/s10393-016-1116-x"
"Rhinolophus ferrumequinum","betacoronavirus","Sarbecovirus","Italy","cross-sectional","3","2","single","faecal, rectal, or anal","PCR","Balboni et al. 2012","https://www.doi.org/10.1100/2012/989514"
"Hipposideros jonesi","genus not specified","","Ghana","cross-sectional","31","0","pooled","faecal, rectal, or anal","PCR","Annan et al. 2013","https://www.doi.org/10.3201/eid1903.121503"
"Hipposideros pomona","genus not specified","","China","cross-sectional","84","0","pooled","pooled tissue","PCR","Xu et al. 2016","https://www.doi.org/10.1007/s12250-016-3727-3"
"Miniopterus magnater","genus not specified","","China","cross-sectional","14","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2012","https://www.doi.org/10.1128/JVI.01305-12"
"Taphozous longimanus","genus not specified","","Thailand","cross-sectional","4","0","single","urinary","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Myotis dasycneme","genus not specified","","Denmark","longitudinal","2","0","repeat","faecal, rectal, or anal","PCR","Lazov et al. 2018","https://www.doi.org/10.3390/v10090486"
"Pteropus rufus","genus not specified","","Madagascar","longitudinal","9","0","pooled","oropharyngeal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"Nyctalus noctula","genus not specified","","China","longitudinal","54","0","pooled","faecal, rectal, or anal","PCR","Lau et al. 2013","https://www.doi.org/10.1128/JVI.01055-13"
"Pipistrellus tenuis","betacoronavirus","Merbecovirus","China","cross-sectional","7","1","pooled","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1128/JVI.00116-18"
"Rhinolophus pusillus","betacoronavirus","Sarbecovirus","Taiwan","cross-sectional","50","1","pooled","faecal, rectal, or anal","PCR","Chen et al. 2016","https://www.doi.org/10.1111/zph.12271"
"Pteropus rufus","genus not specified","","Madagascar","longitudinal","13","0","pooled","oropharyngeal","PCR","Razanajatovo et al. 2015","https://www.doi.org/10.1186/s12985-015-0271-y"
"Myotis daubentonii","genus not specified","","China","cross-sectional","57","0","pooled","faecal, rectal, or anal","PCR","Luo et al. 2018","https://www.doi.org/10.1128/JVI.00116-18"
"Rhinolophus euryale","betacoronavirus","Sarbecovirus","Hungary","cross-sectional","3","1","pooled","faecal, rectal, or anal","PCR","Kemenesi et al. 2014","https://www.doi.org/10.1089/vbz.2014.1637"
"Rhinolophus ferrumequinum","genus not specified","","South Korea","cross-sectional","2","0","single","faecal, rectal, or anal","PCR","Lee et al. 2017","https://www.doi.org/10.1007/s00248-017-1033-8"
"Hypsignathus monstrosus","genus not specified","","Guinea","cross-sectional","1","0","single","pooled swabs/samples","PCR","Lacroix et al. 2020","https://www.doi.org/10.3390/v12080855"
"Myotis volans","genus not specified","","United States of America","cross-sectional","23","0","single","faecal, rectal, or anal","PCR","Osborne et al. 2011","https://www.doi.org/10.1371/journal.pone.0019156"
"Taphozous longimanus","genus not specified","","Thailand","cross-sectional","4","0","single","faecal, rectal, or anal","PCR","Ar Gouilh et al. 2011","https://www.doi.org/10.1016/j.meegid.2011.06.021"
"Pipistrellus kuhlii","alphacoronavirus","","Italy","cross-sectional","68","1","pooled","pooled tissue","PCR","Lelli et al. 2013","https://www.doi.org/10.3390/v5112679"
"Pipistrellus pipistrellus","alphacoronavirus","","France","cross-sectional","127","4","pooled","intestine","PCR","Monchatre-leroy et al. 2017","https://www.doi.org/10.3390/v9120364"
"Myotis davidii","alphacoronavirus","","China","cross-sectional","83","11","single","faecal, rectal, or anal","PCR","He et al. 2014","https://www.doi.org/10.1128/JVI.00631-14"
